"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"","0f39d7be-941b-4f2d-adb5-3eba77484a4a","","","","","","HC-Z&C-10","Size","10ml","","","","","","","","","","","24.99","10.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"683b5a736708fc15e19fa94d","a974f0b0-668d-4afa-87cb-3fed8eee8ed3","PHYSICAL","substances-oils","peach-tease","Peach Tease","<pre><code>Inspired By: E11even Hotel Miami</code></pre><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes: </strong>White Peach, Bergamot, Lilac</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle Notes: </strong>Ylang Ylang, Calone, Cyclamen</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes: </strong>Musk, Sandalwood, Vanilla Bean, Patchouli</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">White peach, bergamot, and lilac burst in like a juicy summer day—light, fresh, and irresistibly sweet. But don’t be fooled—ylang ylang, calone, and cyclamen keep things intriguing, adding a touch of mystery beneath all that brightness. As it settles, musk, sandalwood, vanilla bean, and patchouli wrap everything up in a smooth, sensual embrace that lingers just a little too long. It’s the scent that says, “I’m sweet, but I’ve got layers.”</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Mood: </strong>Soft. Creamy. Polished.</p><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Size Matters</strong></h4><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul data-rte-list=""true""><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>10ml: </strong>Perfect size for <a href=""/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>150ml: </strong>Works for either <a href=""/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>500ml</strong>: Fills up <a href=""/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">View a complete list of all machines <a href=""/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>","HC-PT-500","Size","500ml","","","","","","","","","","","124.99","74.99","Yes","Unlimited","/hotels-and-resorts-collection, /flash-sale, /floral","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/d687eb37-c42b-4b06-9e6a-09c784365601/peach+tease+scent.png https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/15681679-26a6-4a55-a665-10c4d789261e/peach+tease+bottle.jpeg"
"","bb2de2bb-e3e8-4a10-8af5-a8d1d3bf8a96","","","","","","HC-PT-150","Size","150ml","","","","","","","","","","","84.99","54.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","6bfe0de5-8f4a-40f5-8c96-c588a4cd09aa","","","","","","HC-PT-100","Size","100ml","","","","","","","","","","","74.99","44.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","335b354e-8452-490c-b750-74af580f0bda","","","","","","HC-PT-10","Size","10ml","","","","","","","","","","","24.99","10.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"683b5cd9397acc7eac0c02d8","a80a69c7-5fc5-41d8-bfc4-4829572fca08","PHYSICAL","substances-oils","naughty-nice","Naughty & Nice","<pre><code>Inspired By: 1 Hotel South Beach, Miami</code></pre><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes: </strong>Cardamom, Leather, Lemon</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle Notes: </strong>Cinnamon, Oud Wood, Sandalwood</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes: </strong>Amber, Musk, Vetiver</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Cardamom, leather, and lemon kick things off like a fiery first impression—bright, bold, and not taking any prisoners. Then, cinnamon, oud wood, and sandalwood slide in, giving the whole thing an exotic, ""I dare you to keep up"" kind of vibe. But the best part? Amber, musk, and vetiver finish it off with a smooth, earthy depth that hangs around long after you’ve left the room. It’s the scent that says, “I’m here to steal the spotlight—and I’ll make it look effortless.”</p><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Mood: </strong>Crisp. Warm. Controlled.</p><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Size Matters</strong></h4><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul data-rte-list=""true""><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>","HC-N&N-500","Size","500ml","","","","","","","","","","","124.99","94.99","Yes","Unlimited","/hotels-and-resorts-collection, /wood-musk","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/872be891-97e7-4a72-931b-dd93cd352b23/naughty+%26+nice+scent.png https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/b0c184af-6577-44d3-a266-0752e3382851/naughty+%26+nice+bottle.jpeg"
"","4738be96-2453-40a2-8f6f-5fe917e98ca0","","","","","","HC-N&N-150","Size","150ml","","","","","","","","","","","84.99","64.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","d5a9b876-739c-4703-90df-a9b9f879a449","","","","","","HC-N&N-100","Size","100ml","","","","","","","","","","","74.99","54.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","cc59767f-5396-4c94-8893-102a6e79850f","","","","","","HC-N&N-10","Size","10ml","","","","","","","","","","","24.99","14.99","Yes","Unlimited","","","0.0","0.0","0.0","0.0","",""
"683b5ebb48d5382a29a573cd","a34e2035-29da-4891-b8e6-a1ca87ef44ef","PHYSICAL","substances-oils","wet-bar","Wet Bar","<pre><code>Inspired By: Four Season Hotel, Milano </code></pre><ul data-rte-list=""true""><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Top Notes: </strong>Geranium, Sea Salt, Grapefruit</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Middle Notes: </strong>Sage, Seaweed</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Base Notes: </strong>Grapefruit, Cedar, Lily</p></li></ul><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Mood: </strong>Brisk. Aquatic. Refined.</p><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Geranium, sea salt, and grapefruit burst in like a coastal breeze—fresh, vibrant, and totally energizing. Sage and seaweed flow in next, giving off that earthy, “I just came from the ocean” vibe. And as it settles, a smooth blend of grapefruit, cedar, and lily takes over, adding a touch of warmth and depth that keeps things interesting. It’s like stepping into a sun-drenched afternoon by the sea—fresh, free, and ready to turn heads.</p><h4 style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Size Matters</strong></h4><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Let us help you decide which bottle size to select based on the Whiff Maker [Diffuser] model.</p><ul data-rte-list=""true""><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>10ml: </strong>Perfect size for <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-one"">Mobile One</a> or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/mobile-two"">Mobile Two</a></p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>150ml: </strong>Works for either <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-200"">Fusion 200</a> (200ml) or <a href=""https://www.whiffedaromas.com/machines-diffusers/p/twosome"">Twosome</a> (100ml).</p></li><li><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>500ml</strong>: Fills up <a href=""https://www.whiffedaromas.com/machines-diffusers/p/fusion-500"">Fusion 500</a> (500ml) and <a href=""https://www.whiffedaromas.com/machines-diffusers/p/polymer-one"">Polymer One</a> (400ml) to satisfaction, with more left for later.</p></li></ul><p class=""preFade fadeIn"" style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">View a complete list of all machines <a href=""https://www.whiffedaromas.com/machines-by-space-size"">her</a><a href=""https://hibiscus-hen-gl8a.squarespace.com/machines-by-space-size"">e</a>.</p>","HC-WB-500","Size","500ml","","","","","","","","","","","124.99","74.99","Yes","Unlimited","/hotels-and-resorts-collection, /flash-sale, /fruit-ish","","0.0","0.0","0.0","0.0","Yes","https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/29d49fc3-62a2-4b22-a389-381240e30e30/wet+bar+scent.png https://images.squarespace-cdn.com/content/v1/67da0c2c5d3b414ebdd380a0/1db30ef5-eeb1-45c5-bd3d-26f052660b30/wet+bar+bottle.jpeg"
